Hour,HouseUsage,Day
02,76.953199999,07
03,73.203499998,07
04,39.651166668,07
05,34.809283334,07
06,41.336616668,07
07,55.995183336,07
08,47.916900001,07
09,48.536533335,07
10,78.662066668,07
11,56.170433336,07
12,61.288133332,07
13,43.441216668,07
14,58.663116667,07
15,42.034166666,07
16,34.380983330999996,07
17,38.363933333,07
18,15.90606667,07
19,31.848499999999998,07
20,45.70866667,07
21,64.57363333,07
22,62.585616666,07
23,90.521300004,07
00,70.903100003,08
01,87.028816668,08
02,65.414016668,08
03,72.913133333,08
04,77.694983328,08
05,61.251350005,08
06,55.012900002,08
07,67.346333335,08
08,53.126766667,08
09,60.65605,08
10,82.823616668,08
11,51.97585,08
12,81.651049997,08
13,46.61636667,08
14,72.230933334,08
15,60.446833333,08
16,47.244166666,08
17,37.28295,08
18,43.009583333,08
19,67.137416668,08
20,96.382066667,08
21,82.284999998,08
22,82.889250003,08
23,61.529699997,08
00,49.034383332,09
01,43.561766667,09
02,49.567233333,09
03,51.009383333,09
04,52.036233336,09
05,44.316183331,09
06,41.595450002,09
07,45.335449997,09
08,39.02401667,09
09,43.807416666,09
10,45.803516669,09
11,48.438333330999995,09
12,66.479349998,09
13,68.967933332,09
14,55.789516668,09
15,47.902600000999996,09
16,35.71666667,09
17,29.944100002,09
18,58.416450005,09
19,39.544516667,09
20,57.377933334,09
21,75.289333335,09
22,107.20706666699999,09
23,107.543066671,09
00,109.862400003,10
01,69.635550001,10
02,82.453033335,10
03,43.679050001,10
04,48.708000002,10
05,48.092983334,10
06,39.587866665,10
07,40.627433334,10
08,44.636733335,10
09,40.720999999,10
10,44.192333333,10
11,45.318966669,10
12,64.247416665,10
13,66.035700003,10
14,115.232083337,10
15,84.282316666,10
16,85.591666669,10
17,76.677133336,10
18,55.266200001,10
19,48.819750004,10
20,46.46965,10
21,74.315750004,10
22,87.469483332,10
23,176.221316668,10
00,88.290316668,11
01,145.944066668,11
02,109.854233334,11
03,82.223366664,11
04,50.483116666,11
05,31.323416666,11
06,33.673266667,11
07,51.963949999,11
08,45.676883334,11
09,55.563000001,11
10,68.646049998,11
11,67.841949997,11
12,37.232166665,11
13,49.637349998,11
14,89.949299999,11
15,92.666716668,11
16,90.337966665,11
17,43.269233334,11
18,75.530716663,11
19,41.298216665,11
20,36.208916664,11
21,69.36688333400001,11
22,70.436166667,11
23,68.263966666,11
00,94.636799998,12
01,104.080350002,12
02,72.646749996,12
03,77.133833335,12
04,134.308816668,12
05,84.585799999,12
06,51.484633332,12
07,57.82631667,12
08,51.061966665,12
09,61.512666663,12
10,82.118066668,12
11,62.01405,12
12,71.061716665,12
13,47.333016666,12
14,44.822983332,12
15,42.460999998,12
16,31.111066666,12
17,54.003916667,12
18,23.303299997,12
19,38.129316668,12
20,60.541950003,12
21,59.737966665,12
22,69.520183334,12
23,90.861899998,12
00,62.020500001,13
01,68.054850003,13
02,53.519183336,13
03,75.246283332,13
04,67.044533332,13
05,51.367116665,13
06,60.6418,13
07,53.6237,13
08,52.462583334,13
09,62.243450002,13
10,85.148050001,13
11,76.9655,13
12,92.704816668,13
13,107.474583337,13
14,70.88385,13
15,75.934083335,13
16,32.88395,13
17,34.267933335,13
18,16.528250001,13
19,21.416966668,13
20,40.132449999,13
21,95.92499999900001,13
22,83.951650003,13
23,82.841499999,13
00,88.932633334,14
01,77.891133334,14
02,75.850683335,14
03,40.296483331,14
04,44.489949998,14
05,40.83425,14
06,65.990850001,14
07,49.763733335,14
08,51.880216664,14
09,66.585033332,14
10,74.257183332,14
11,73.074283334,14
12,86.669799999,14
13,84.895483332,14
14,50.111866662,14
15,47.918033335,14
16,16.08965,14
17,58.155766664,14
18,37.194366666,14
19,29.555916668,14
20,29.526183335,14
21,75.134733337,14
22,66.988166664,14
23,68.245200001,14
00,86.540116664,15
01,68.891366669,15
02,45.910966668,15
03,61.476083332,15
04,62.015450001,15
05,49.198916666,15
06,43.481266667999996,15
07,45.960750001,15
08,54.824883336,15
09,47.700983331,15
10,76.568366669,15
11,52.95671667,15
12,85.213033338,15
13,46.226000003,15
14,29.378516664,15
15,16.979983331,15
16,28.208249997,15
17,25.689483335,15
18,14.290916669,15
19,20.803416669,15
20,43.932416668,15
21,74.60458333300001,15
22,57.72068333,15
23,84.942583329,15
00,79.9334,16
01,97.824266668,16
02,49.211233332,16
03,51.73285,16
04,68.299866666,16
05,73.469283334,16
06,34.842116662,16
07,43.476733334,16
08,44.741683336,16
09,49.199233334,16
10,48.640666672,16
11,54.820883336,16
12,68.961949998,16
13,51.203416667999996,16
14,50.941316669,16
15,44.18375,16
16,50.148616667,16
17,39.077316667,16
18,66.546866666,16
19,67.699683332,16
20,68.800883335,16
21,88.773533334,16
22,70.948816663,16
23,92.820366664,16
00,89.782366667,17
01,90.808533333,17
02,102.492016662,17
03,85.704766667,17
04,65.78735,17
05,44.16718333,17
06,38.480583337,17
07,54.723666668,17
08,34.966249998,17
09,63.681266665,17
10,49.799516666,17
11,52.559150002,17
12,80.787449999,17
13,86.255616669,17
14,44.095283334,17
15,37.025066669,17
16,51.968900004,17
17,39.631299996,17
18,67.331349998,17
19,82.996583332,17
20,46.954033332,17
21,89.798349999,17
22,104.657349999,17
23,95.667833336,17
00,158.019800003,18
01,172.098766667,18
02,158.291899997,18
03,106.122533335,18
04,58.732183334,18
05,36.364483332,18
06,38.416716668,18
07,43.993449999,18
08,54.193000002,18
09,60.166866669,18
10,80.596600001,18
11,51.936233331,18
12,55.096550002,18
13,64.146333333,18
14,94.024716666,18
15,107.992216665,18
16,108.41610000200001,18
17,127.916700002,18
18,119.564599998,18
19,88.615933334,18
20,81.892550005,18
21,117.790200003,18
22,146.050583334,18
23,115.036350001,18
00,75.210250005,19
01,69.090450002,19
02,66.142149999,19
03,94.082383335,19
04,76.953650004,19
05,68.1635,19
06,75.330866667,19
07,82.177916667,19
08,84.674049998,19
09,76.916233331,19
10,84.229583333,19
11,81.558433335,19
12,100.685716663,19
13,108.054666668,19
14,111.271100002,19
15,45.012449998,19
16,36.704499999999996,19
17,63.039800001,19
18,98.98665,19
19,85.53095,19
20,53.842499994,19
21,91.438316666,19
22,86.227983334,19
23,111.733316665,19
00,83.980766666,20
01,87.641283335,20
02,49.243266668,20
03,63.916566664,20
04,73.741683334,20
05,57.861383333,20
06,60.456216669,20
07,68.169416666,20
08,52.010366664,20
09,54.320416666999996,20
10,91.230266665,20
11,75.830649996,20
12,75.139766662,20
13,50.069883335,20
14,42.66081667,20
15,19.507566668,20
16,27.929849995999998,20
17,14.702733336,20
18,5.319583328999999,20
19,28.650116663,20
20,19.928616665,20
21,78.551133329,20
22,84.4814,20
23,98.872799999,20
00,81.119116665,21
01,61.223050002,21
02,64.842616666,21
03,46.885416665,21
04,52.315166667,21
05,63.403916663,21
06,44.813000003,21
07,54.177966667,21
08,52.722249999,21
09,45.622050001,21
10,85.906583332,21
11,60.518183332,21
12,58.8544,21
13,46.822800001,21
14,29.637699998,21
15,42.386883331,21
16,18.279066667,21
17,10.3836,21
18,22.610266664,21
19,27.142133301,21
20,48.162283334,21
21,92.163466665,21
22,70.136350001,21
23,75.51981666500001,21
00,85.104583333,22
01,83.13515,22
02,61.295750001,22
03,58.373716667000004,22
04,55.984316668,22
05,49.865950001,22
06,66.454650001,22
07,46.001100001,22
08,64.063516664,22
09,62.018316661,22
10,66.956700001,22
11,70.179900002,22
12,81.865866666,22
13,38.544816665,22
14,39.758616667,22
15,16.327766669,22
16,28.308833334,22
17,12.261150004,22
18,33.915433334,22
19,41.171583336,22
20,88.935316664,22
21,77.541633333,22
22,85.79595,22
23,85.965033334,22
00,54.782233334,23
01,63.047549999,23
02,49.394183332,23
03,56.436399999,23
04,49.168566666,23
05,58.895083339,23
06,46.115316667,23
07,45.890566662,23
08,53.751116664,23
09,57.665966667999996,23
10,43.795066666,23
11,58.391616667,23
12,83.319783331,23
13,79.603750001,23
14,58.968216669,23
15,67.347516666,23
16,78.37095,23
17,96.914433334,23
18,91.004733336,23
19,138.721016662,23
20,103.88681667,23
21,119.085133333,23
22,161.836233336,23
23,95.07673333299999,23
00,75.737616668,24
01,76.883649999,24
02,74.522083332,24
03,74.469516667,24
04,74.59161667,24
05,41.765300001,24
06,31.179833332,24
07,61.414066663999996,24
08,40.215333334,24
09,66.130266671,24
10,52.221433336,24
11,64.90086667,24
12,69.634483334,24
13,58.357533332,24
14,45.126533329,24
15,34.296900001,24
16,43.98215,24
17,34.536083337,24
18,37.060950002,24
19,32.220933332,24
20,67.1826,24
21,142.329266667,24
22,94.999633334,24
23,48.823400002,24
00,38.461183332,25
01,58.345816667,25
02,40.366466668,25
03,36.789500001,25
04,37.233599997,25
05,52.972850006,25
06,48.118366665,25
07,48.328199995,25
08,48.355649999,25
09,46.6914,25
10,85.315849998,25
11,72.150216667,25
12,77.233933336,25
13,59.188399997,25
14,41.081183339,25
15,49.832916665,25
16,71.311750003,25
17,21.117299998,25
18,40.635516665,25
19,57.189150002,25
20,47.403983331,25
21,60.384416664999996,25
22,117.49223332700001,25
23,68.104833332,25
00,101.704533328,26
01,131.233699999,26
02,88.987850002,26
03,76.691133332,26
04,48.772000004,26
05,42.458099995,26
06,44.529666667,26
07,48.643833332,26
08,44.962400002,26
09,59.275733333,26
10,62.07663333,26
11,57.01241667,26
12,85.028583329,26
13,39.06206667,26
14,19.025616668999998,26
15,27.767083337,26
16,39.256249995,26
17,39.5626,26
18,33.764166666,26
19,51.085916666,26
20,79.610183332,26
21,79.133583332,26
22,88.763450002,26
23,88.867166664,26
00,60.954799998,27
01,55.424166668,27
02,49.391200001,27
03,68.84386667,27
04,42.670266668000004,27
05,35.361383337,27
06,44.776983334,27
07,45.508066667,27
08,43.811949999999996,27
09,48.848416667,27
10,59.468716668,27
11,42.368916664,27
12,63.218533333,27
13,46.935050000000004,27
14,25.512549998,27
15,25.537550001,27
16,14.576483331,27
17,14.780466663999999,27
18,29.036116663999998,27
19,10.093200001,27
20,11.230666671,27
21,44.239383331,27
22,56.725799999,27
23,53.786133332,27
00,162.985999999,28
01,117.554899999,28
02,86.437799996,28
03,70.562433333,28
04,56.901000001,28
05,36.1394,28
06,42.13853333,28
07,57.235516667,28
08,49.373133336,28
09,41.759833334,28
10,75.974133335,28
11,55.763816661999996,28
12,64.894233334,28
13,44.513433332,28
14,27.073833336,28
15,31.63995,28
16,26.973916668,28
17,15.673749997,28
18,52.642183336,28
19,29.672983334,28
20,32.502066666,28
21,50.42215,28
22,48.381933335,28
23,80.454133335,28
00,59.959533332,29
01,83.240383333,29
02,57.301550002,29
03,43.963600004,29
04,47.35471667,29
05,47.578033335,29
06,38.274583337,29
07,55.664650001,29
08,37.372866671,29
09,61.571933336,29
10,55.248616667,29
11,55.040300001,29
12,60.140916666,29
13,81.785466668,29
14,56.03215,29
15,22.928883337,29
16,43.337883333,29
17,49.549483336,29
18,36.995416665,29
19,52.804483334,29
20,79.487983337,29
21,70.908433337,29
22,87.62205,29
23,79.497116666,29
00,56.549599998,30
01,57.543866667,30
02,34.115483332,30
03,56.145466668,30
04,53.697783331,30
05,50.668333335,30
06,47.643300002000004,30
07,60.128700001,30
08,54.753816668,30
09,44.442916667,30
10,64.750933333,30
11,56.283149998,30
12,126.069099999,30
13,54.883216669999996,30
14,51.156283332,30
15,31.3634,30
16,28.271300005,30
17,38.495550001,30
18,18.278666665,30
19,18.073833334,30
20,19.456849999,30
21,31.5027,30
22,70.536350002,30
23,112.619516667,30
00,79.111100003,31
01,64.276599997,31
02,75.084816668,31
03,48.188066667,31
04,35.859299996,31
05,30.19301667,31
06,28.358483336,31
07,34.921483336,31
08,31.193733336,31
09,37.544383338,31
10,44.23696667,31
11,61.41516667,31
12,59.431966665000004,31
13,50.844783332,31
14,73.394499997,31
15,40.843599999,31
16,72.659033335,31
17,58.569149999,31
18,26.974866665,31
19,174.880616663,31
20,122.566366667,31
21,84.009666664,31
22,120.67838333499999,31
23,85.886499999,31
00,82.878066671,01
01,135.403950003,01
02,122.477433333,01
03,61.925050001,01
04,20.101149998,01
05,20.709533332,01
06,29.055416667,01
07,35.423266667,01
08,44.222416665,01
09,45.589033332,01
10,53.131466669,01
11,43.661816664,01
12,53.886516668,01
13,23.357583334,01
14,19.737850002,01
15,14.412133334,01
16,22.327833330999997,01
17,14.858283338,01
18,19.379966664999998,01
19,51.789250002,01
20,101.015366667,01
21,104.347983332,01
22,221.726116666,01
23,146.829066667,01
00,45.884550001,02
01,72.022683335,02
02,57.856866667,02
03,79.759750004,02
04,54.219883336,02
05,47.157299998,02
06,34.889200001,02
07,27.428683336,02
08,47.391433333,02
09,41.444400002,02
10,73.919283332,02
11,47.695433329,02
12,78.4812,02
13,56.290916666,02
14,19.542699999,02
15,18.313766672,02
16,14.388966666999998,02
17,38.441933333,02
18,27.724783332,02
19,10.231849999,02
20,27.942799998999998,02
21,42.823399996999996,02
22,30.151566668,02
23,50.644766663,02
00,46.758633336,03
01,64.042900002,03
02,46.148099999,03
03,51.352933336,03
04,55.991183336,03
05,47.000483334,03
06,40.990266667,03
07,45.09916667,03
08,36.585449998,03
09,58.802599997,03
10,54.197,03
11,41.672200000000004,03
12,70.467783336,03
13,42.455966658,03
14,37.892883335,03
15,37.073733336,03
16,38.465783333,03
17,38.882399999,03
18,35.684583335,03
19,40.468033332,03
20,51.619516669,03
21,44.825766669,03
22,53.978233334,03
23,55.756183334,03
00,40.094666668,04
01,33.895416667999996,04
02,23.888483332,04
03,28.579533333,04
04,26.807133334,04
05,23.842216672,04
06,22.617466668,04
07,21.760500001,04
08,26.853349999,04
09,38.888200002,04
10,79.328500003,04
11,40.32226667,04
12,90.64506667,04
13,55.675633333,04
14,16.689883332,04
15,14.230816667,04
16,13.428283333,04
17,10.561666665999999,04
18,11.477083332,04
19,20.891433338,04
20,32.746616667,04
21,52.612383334,04
22,53.364683334,04
23,62.883749999,04
00,82.665516662,05
01,66.6884,05
02,56.588233333,05
03,51.052299999,05
04,57.80538333,05
05,60.413500004,05
06,41.285250004,05
07,34.635083334,05
08,46.329966666,05
09,42.857499998,05
10,63.499316666,05
11,45.408866665,05
12,66.474233331,05
13,42.910966667000004,05
14,32.555366666,05
15,42.683083335999996,05
16,46.224750003,05
17,47.799733333,05
18,41.690816667,05
19,41.923099998,05
20,38.565433331,05
21,45.581783337,05
22,82.646716668,05
23,78.20579999899999,05
00,81.606783331,06
01,93.10243333,06
02,116.956283336,06
03,97.005300001,06
04,34.444066667,06
05,44.724083333,06
06,43.938266663,06
07,61.614416668,06
08,46.199499999,06
09,47.171316669,06
10,60.094983334,06
11,47.141750002,06
12,74.250416667,06
13,77.060266666,06
14,23.075316669,06
15,38.241766666,06
16,21.318150001,06
17,15.097749998,06
18,19.507016668,06
19,13.836800002999999,06
20,22.890083335,06
21,25.013916669,06
22,39.485533332,06
23,42.403283336,06
00,52.61365,07
01,49.502683334,07
02,39.161000001,07
03,36.548016672,07
04,43.414483331,07
05,47.775916664,07
06,60.929399999,07
07,44.877499999,07
08,38.777400001,07
09,57.219466668,07
10,37.976733331,07
11,63.741816666,07
12,59.638183331,07
13,45.830466667,07
14,32.827183331,07
15,24.743133334,07
16,27.258699997,07
17,8.284866666,07
18,5.474066666,07
19,22.173983334,07
20,48.809299999,07
21,66.623449999,07
22,85.0977,07
23,65.047800002,07
00,97.341133331,08
01,171.265233335,08
02,90.959733337,08
03,72.71403333399999,08
04,55.14368333,08
05,39.8153,08
06,39.934016666,08
07,47.984850003,08
08,39.345166664,08
09,46.241300004,08
10,81.323433333,08
11,59.678816665,08
12,42.270083334,08
13,55.198599998999995,08
14,105.617533334,08
15,117.224749997,08
16,116.921166668,08
17,99.294433337,08
18,76.466766667,08
19,54.762166664,08
20,67.520266661,08
21,105.701949998,08
22,233.853100001,08
23,215.732083332,08
00,145.74650000100002,09
01,111.113750001,09
02,61.650366665,09
03,50.095216668,09
04,49.952349999,09
05,49.468849999,09
06,51.310216665,09
07,60.259016663,09
08,58.141366667,09
09,45.969350001,09
10,77.284466666,09
11,66.022616665,09
12,67.766050002,09
13,38.992849999,09
14,24.331299999,09
15,29.885016667,09
16,9.971449997999999,09
17,35.263749998,09
18,28.584550002,09
19,50.393949999,09
20,88.889566667,09
21,93.156333333,09
22,83.125616668,09
23,78.859383334,09
00,78.812566664,10
01,106.052649997,10
02,72.400383332,10
03,42.291933336,10
04,42.256316662,10
05,55.999666667,10
06,51.552733336,10
07,47.501299998,10
08,64.020366665,10
09,42.445216668,10
10,76.489216663,10
11,46.718599996,10
12,78.196250001,10
13,29.378966668,10
14,28.243983332,10
15,37.746783329,10
16,36.155599996999996,10
17,43.852866667,10
18,35.044249999,10
19,34.628683333,10
20,60.6905,10
21,50.268100003,10
22,60.937316671,10
23,72.213466666,10
00,97.769883331,11
01,92.244800003,11
02,56.058716665,11
03,45.828516666,11
04,41.57993333,11
05,45.959849999999996,11
06,58.061199998999996,11
07,43.892616665,11
08,62.689316669,11
09,55.82936667,11
10,75.294300001,11
11,55.350116668,11
12,72.8893,11
13,41.994933333,11
14,61.938600001,11
15,46.807166671,11
16,45.284733332,11
17,66.033166664,11
18,27.959249998,11
19,70.829983335,11
20,98.864983331,11
21,78.002983331,11
22,89.70685000099999,11
23,95.729333333,11
00,101.857133334,12
01,105.922649997,12
02,85.266933328,12
03,98.424516671,12
04,94.218499998,12
05,81.37833333100001,12
06,96.918616669,12
07,79.8676,12
08,75.085933333,12
09,82.196366665,12
10,98.224099999,12
11,81.274716668,12
12,93.827533337,12
13,87.653049997,12
14,41.932416664,12
15,59.950166669,12
16,67.230266667,12
17,69.36161667,12
18,30.343083332,12
19,41.189883329,12
20,61.446266666,12
21,66.256783334,12
22,66.739516667,12
23,69.706683328,12
00,50.632983331,13
01,69.058999998,13
02,64.793049996,13
03,73.402999994,13
04,55.433466664,13
05,58.392349999,13
06,63.045833334,13
07,60.28295,13
08,48.819483333,13
09,64.82993333499999,13
10,62.221350002,13
11,63.779683335,13
12,83.0335,13
13,65.073283332,13
14,43.692633334,13
15,61.16205,13
16,93.410733337,13
17,115.542866668,13
18,76.4624,13
19,92.14031666300001,13
20,91.066716668,13
21,91.13261666,13
22,149.235200003,13
23,143.704466665,13
00,100.318849999,14
01,130.993616667,14
02,119.313216667,14
03,53.300933333,14
04,73.435516667,14
05,76.861450005,14
06,82.66588333,14
07,82.325999997,14
08,78.674216665,14
09,80.625733335,14
10,118.942416665,14
11,87.145283333,14
12,90.746450002,14
13,77.05448333,14
14,59.233899999,14
15,38.351533334,14
16,35.708433333,14
17,35.189349997,14
18,25.977716663,14
19,22.311933338,14
20,13.339749998999999,14
21,54.976516667,14
22,64.517133333,14
23,74.941383334,14
00,104.197349995,15
01,101.847116667,15
02,91.55921667,15
03,63.303416666,15
04,75.398533334,15
05,69.402866666,15
06,70.327950001,15
07,73.02856667,15
08,81.175000003,15
09,73.475233334,15
10,88.338466667,15
11,81.38423333,15
12,56.37038333,15
13,50.524366664,15
14,82.896533331,15
15,76.231266667,15
16,73.105633333,15
17,92.528916665,15
18,107.833649998,15
19,99.98385,15
20,105.333783332,15
21,122.158283332,15
22,205.325500002,15
23,174.603383336,15
00,101.433433332,16
01,138.646166666,16
02,88.00345000200001,16
03,80.044016671,16
04,64.104616665,16
05,72.581649996,16
06,60.173316667,16
07,59.95971667,16
08,77.246900001,16
09,54.394233334,16
10,95.62135,16
11,53.574133332,16
12,83.345533332,16
13,59.1161,16
14,72.568783334,16
15,81.970266669,16
16,34.062416669,16
17,68.07675,16
18,41.663116668,16
19,51.294133335,16
20,61.827199999,16
21,69.65293333300001,16
22,57.982400002,16
23,68.559016669,16
00,71.839566664,17
01,79.82499999699999,17
02,43.354583338,17
03,50.79535,17
04,64.769949999,17
05,53.311683335,17
06,66.720199999,17
07,49.040599998,17
08,57.320750003,17
09,59.379349998,17
10,86.530633336,17
11,51.033850004,17
12,86.141800002,17
13,51.799750001,17
14,35.970316666,17
15,50.621750001,17
16,36.144,17
17,53.848216664,17
18,38.513966663,17
19,59.953433332,17
20,64.989283334,17
21,51.9456,17
22,76.663066668,17
23,73.901616669,17
00,71.843833334,18
01,146.354066665,18
02,143.636899999,18
03,85.718933333,18
04,66.056650002,18
05,43.16716667,18
06,69.181066669,18
07,52.634,18
08,55.385650001,18
09,73.826933333,18
10,83.057166666,18
11,69.712966665,18
12,86.767499998,18
13,52.899249996,18
14,29.186316665,18
15,32.806933332,18
16,18.896216667,18
17,7.280749997999999,18
18,22.095683334,18
19,14.634133334,18
20,23.233116669999998,18
21,62.395850002,18
22,48.784733331,18
23,58.809949997,18
00,103.258666668,19
01,71.623216667,19
02,94.710149998,19
03,70.280883335,19
04,78.727533338,19
05,80.125849997,19
06,62.966883334,19
07,73.599966672,19
08,62.299150001,19
09,70.724366668,19
10,86.470033328,19
11,69.066566663,19
12,84.866283334,19
13,56.631800001,19
14,50.47785,19
15,24.937366671,19
16,19.596966665,19
17,25.340550002,19
18,37.050350001,19
19,40.288016667,19
20,49.715966669,19
21,54.584766667,19
22,93.663550003,19
23,67.026566668,19
00,71.715833335,20
01,53.746816669,20
02,47.865483335,20
03,44.86515,20
04,60.56045,20
05,50.188033329999996,20
06,57.361066667,20
07,50.781933333,20
08,47.224450004,20
09,62.563183329,20
10,43.384533333,20
11,61.384966674,20
12,88.225700002,20
13,111.738083334,20
14,67.228666668,20
15,49.744400002,20
16,40.029416669999996,20
17,15.130850000999999,20
18,29.20715,20
19,37.036583333,20
20,59.873166668,20
21,93.878633334,20
22,91.09289999800001,20
23,60.709466665,20
00,31.506749999,21
01,33.204166668,21
02,29.985833331,21
03,30.470383332999997,21
04,31.977999998999998,21
05,26.101449998,21
06,34.6299,21
07,31.285000002,21
08,43.09895,21
09,34.385066664,21
10,44.625400002,21
11,45.140983338,21
12,69.797816666,21
13,43.621150001,21
14,37.311800003,21
15,35.306416664,21
16,50.181433334,21
17,46.014050001,21
18,64.859300003,21
19,66.291883335,21
20,106.355433332,21
21,75.355483335,21
22,60.537766664,21
23,82.86641666599999,21
00,84.217850002,22
01,81.445666669,22
02,77.143416666,22
03,51.564883334,22
04,49.701083335999996,22
05,30.733800002,22
06,31.102533335,22
07,45.740699997,22
08,45.536733335,22
09,56.786366667,22
10,66.91376666400001,22
11,97.96225,22
12,74.097616665,22
13,66.501633336,22
14,56.446333334,22
15,44.160366666,22
16,39.934933333,22
17,13.867716667,22
18,13.390933333,22
19,33.01755,22
20,46.73795,22
21,76.927250003,22
22,174.202316667,22
23,227.26366666500002,22
00,156.421250002,23
01,109.890999999,23
02,77.45095,23
03,71.292983334,23
04,65.865983331,23
05,61.794733331,23
06,34.478483333,23
07,43.180699998,23
08,44.228933331,23
09,44.330466666,23
10,65.669133331,23
11,78.984366667,23
12,65.063266667,23
13,66.820666666,23
14,37.448216664,23
15,41.061199997,23
16,13.468833331999999,23
17,48.984100002,23
18,50.605133332,23
19,36.338133337,23
20,49.601066669,23
21,54.060233334,23
22,70.981633335,23
23,52.850100001,23
00,52.220633334,24
01,63.02155,24
02,61.556300001000004,24
03,45.757399999,24
04,43.457866668,24
05,40.721183336,24
06,59.345200003,24
07,45.256483336,24
08,45.660200001,24
09,54.814299999,24
10,59.519116666,24
11,66.839500003,24
12,90.131083334,24
13,38.738816663,24
14,31.355533333,24
15,45.613266662,24
16,43.667533332,24
17,64.160583334,24
18,41.362416666,24
19,40.740516665,24
20,59.273233336,24
21,63.077566667,24
22,51.609266667,24
23,93.087999999,24
00,193.863749999,25
01,108.300500001,25
02,104.256616666,25
03,87.927966668,25
04,36.151800003,25
05,34.855999996,25
06,31.828849998,25
07,35.783383332,25
08,32.252683335,25
09,34.224566667,25
10,52.545766664,25
11,53.690050002,25
12,54.777549998,25
13,38.127816667,25
14,14.182816665999999,25
15,24.583983334,25
16,21.924266666999998,25
17,23.041966667,25
18,24.933666665,25
19,13.325183332999998,25
20,24.512383329,25
21,50.081033333,25
22,44.758450001,25
23,54.248499996,25
00,57.27695,26
01,39.108916664999995,26
02,45.117133334,26
03,33.770316667,26
04,56.593583334,26
05,50.015133335,26
06,68.522283335,26
07,53.299583339,26
08,60.832750002,26
09,60.846433331,26
10,74.160999998,26
11,88.355616664,26
12,95.84171666900001,26
13,39.589699997,26
14,33.014533335,26
15,21.907150005,26
16,35.522616667,26
17,45.881499997,26
18,17.677766667,26
19,9.482849997999999,26
20,21.133350001,26
21,28.731166666,26
22,85.495266668,26
23,148.6298,26
00,155.45581667,27
01,109.176466669,27
02,89.896883332,27
03,74.089583332,27
04,36.691116669,27
05,55.985433334,27
06,51.881766665,27
07,65.011533335,27
08,59.595466667,27
09,52.794633334,27
10,68.775600001,27
11,50.082766663,27
12,85.63403333,27
13,69.019383334,27
14,32.702433335,27
15,48.269016667,27
16,16.089466667,27
17,32.600716667,27
18,22.044516667,27
19,22.276466667999998,27
20,22.483749998,27
21,45.70775,27
22,37.82215,27
