Ad_ID,Campaign_Name,Clicks,Impressions,Cost,Leads,Conversions,Conversion Rate,Sale_Amount,Ad_Date,Location,Device,Keyword
A1036,data analytics course,146,5939,242.9,11,8,0.035,1833,20241107,hyderabad,desktop,data analytics training
A1037,data analytics course,123,5131,215.57,19,5,0.041,1307,9112024,hyderabad,mobile,learn data analytics
A1038,data analytics course,90,5786,197.55,11,6,0.043,1704,16112024,hyderabad,mobile,online data analytics
A1039,data analytics course,171,4304,192.61,17,10,0.058,1427,20241126,hyderabad,mobile,learn data analytics
A1040,data analytics course,94,5549,231.23,25,9,0.096,1849,20241112,hyderbad,mobile,data analytics training
A1041,data analytics course,112,4271,196.07,27,6,0.046,1209,20241114,hyderabad,desktop,data analytics online
A1042,data analytics course,113,4418,191.55,27,10,0.046,1634,20241109,hyderbad,mobile,data analytics course
A1043,data analytics course,145,3721,180.95,21,7,0.048,1960,29112024,hyderabad,desktop,data analytics online
A1044,data analytics course,197,5783,204.46,23,6,0.046,1729,1112024,hyderabad,tablet,data analytics training
A1045,data analytics course,109,4866,236.78,27,5,0.046,1585,15112024,hyderabad,mobile,online data analytics
A1046,data analytics course,188,5857,222.98,20,4,0.048,1303,11112024,hyderabad,desktop,data analytics training
A1047,data analytics course,142,5103,234.1,24,3,0.021,1835,20241108,hyderbad,mobile,analytics for data
A1048,data analytics course,168,4653,240.84,27,9,0.054,1367,20241124,hyderabad,mobile,online data analytics
A1049,data analytics course,110,3524,248.86,19,10,0.091,1524,21112024,hyderbad,mobile,learn data analytics
A1050,data analytics course,192,5938,182.84,26,5,0.039,1080,20241112,hyderabad,mobile,analytics for data
A1051,data analytics course,101,3942,206.62,16,5,0.05,1746,20241124,hyderabad,tablet,analytics for data
A1052,data analytics course,157,3315,189.56,15,10,0.064,1026,20241125,hyderabad,mobile,online data analytics
A1053,data analytics course,113,4945,187.66,15,10,0.046,1564,20241126,hyderabad,tablet,learn data analytics
A1054,data analytics course,96,3166,196.15,29,7,0.073,1902,26112024,hyderabad,desktop,learn data analytics
A1055,data analytics course,125,4223,183.68,15,6,0.046,1267,20241105,hyderabad,desktop,data analytics online
A1056,data analytics course,104,4798,210.1,18,3,0.046,1340,21112024,hyderabad,desktop,analytics for data
A1057,data analytics course,194,5655,208.58,13,6,0.031,1692,20241116,hyderabad,mobile,data analytics training
A1058,data analytics course,144,5140,219.48,19,8,0.047,1054,18112024,hyderbad,desktop,data analytics online
A1059,data analytics course,179,3025,238.81,17,3,0.017,1505,20241111,hyderabad,mobile,data analytics online
A1060,data analytics course,166,5223,189.76,18,7,0.042,1219,16112024,hyderbad,tablet,data analytics course
A1061,data analytics course,166,5089,215.57,26,7,0.042,1946,11112024,hyderbad,tablet,analytics for data
A1062,data analytics course,118,5016,204.31,19,9,0.045,1833,20241108,hyderabad,desktop,analytics for data
A1063,data analytics course,185,3617,222.32,24,7,0.038,1963,23112024,hyderabad,mobile,data analytics course
A1064,data analytics course,116,3764,232.03,28,10,0.086,1348,20241120,hyderabad,tablet,data analytics course
A1065,data analytics course,99,4489,183.73,15,6,0.061,1264,20241105,hyderabad,desktop,online data analytics
A1066,data analytics course,172,4441,221.18,14,8,0.047,1771,27112024,hyderabad,mobile,analytics for data
A1067,data analytics course,138,5751,199.11,26,9,0.052,1337,20241110,hyderbad,desktop,data analytics online
A1068,data analytics course,84,4036,234.22,23,10,0.119,1287,4112024,hyderbad,desktop,learn data analytics
A1069,data analytics course,124,4942,240.59,18,3,0.024,1922,20241116,hyderabad,desktop,learn data analytics
A1070,data analytics course,122,4989,215.48,12,5,0.041,1975,20241106,hyderabad,mobile,data analytics online
A1071,data analytics course,180,3006,228.14,22,7,0.039,1556,20241104,hyderabad,tablet,learn data analytics
A1072,data analytics course,133,3728,199.13,11,10,0.046,1505,20241109,hyderabad,desktop,data analytics online
A1073,data analytics course,164,3734,225.39,27,8,0.04,1728,12112024,hyderabad,tablet,learn data analytics
A1074,data analytics course,150,4621,246.3,15,6,0.049,1554,20241109,hyderabad,desktop,data analytics online
A1075,data analytics course,97,3212,212.55,27,10,0.103,1994,23112024,hyderabad,desktop,analytics for data
A1076,data analytics course,128,4225,228.24,30,4,0.031,1618,20241108,hyderbad,mobile,learn data analytics
A1077,data analytics course,99,4779,233.78,26,10,0.101,1086,20241105,hyderabad,desktop,online data analytics
A1078,data analytics course,86,5352,234.05,11,5,0.058,1364,20241109,hyderabad,tablet,online data analytics
A1079,data analytics course,118,5405,187.28,25,7,0.058,1836,20241105,hyderabad,tablet,analytics for data
A1080,data analytics course,127,5430,199.13,14,6,0.047,1932,20241125,hyderabad,mobile,analytics for data
A1081,data analytics course,83,4808,241.35,20,7,0.084,1038,30112024,hyderbad,mobile,learn data analytics
A1082,data analytics course,149,3587,217.53,23,8,0.046,1505,17112024,hyderabad,mobile,data analytics online
A1083,data analytics course,168,4683,215.28,30,8,0.048,1327,20241128,hyderabad,mobile,data analytics online
A1084,data analytics course,112,5814,227.38,11,8,0.071,1467,20241103,hyderbad,tablet,analytics for data
A1085,data analytics course,123,3292,233.2,28,6,0.049,1174,20241119,hyderabad,desktop,data analytics training
A1086,data analytics course,174,4305,206.02,20,3,0.034,1057,20241123,hyderabad,desktop,learn data analytics
A1087,data analytics course,143,4368,215.57,27,7,0.049,1199,3112024,hyderabad,tablet,analytics for data
A1088,data analytics course,195,5935,209.68,23,9,0.046,1966,20241107,hyderabad,tablet,online data analytics
A1089,data analytics course,176,5847,241.04,13,6,0.034,1194,20241102,hyderabad,desktop,online data analytics
A1090,data analytics course,141,4851,227.39,28,5,0.046,1821,20241115,hyderabad,desktop,analytics for data
A1091,data analytics course,108,4710,204.16,19,10,0.093,1731,20241120,hyderbad,tablet,data analytics online
A1092,data analytics course,112,3345,215.57,11,6,0.047,1859,20241123,hyderbad,tablet,analytics for data
A1093,data analytics course,0,5903,184.41,23,9,0.046,1188,20112024,hyderbad,tablet,online data analytics
A1094,data analytics course,145,5004,216.45,22,5,0.034,1496,20241101,hyderabad,tablet,data analytics online
A1095,data analytics course,183,3947,197.3,15,8,0.044,1645,20241114,hyderbad,desktop,data analytics training
A1096,data analytics course,113,3690,229.42,20,5,0.044,1915,20241128,hyderabad,tablet,learn data analytics
A1097,data analytics course,101,5943,187.32,27,6,0.059,1614,20241115,hyderabad,tablet,data analytics online
A1098,data analytics course,189,5357,222.5,24,3,0.05,1839,20241125,hyderabad,tablet,data analytics course
A1099,data analytics course,154,3596,236.14,30,9,0.058,1036,20241106,hyderabad,tablet,online data analytics
A1100,data analytics course,179,5162,246.76,16,5,0.05,1052,20241129,hyderbad,desktop,online data analytics
A1101,data analytics course,148,3747,244.41,18,8,0.054,1092,20241117,hyderabad,tablet,learn data analytics
A1102,data analytics course,177,4822,197.03,26,9,0.051,1909,20241104,hyderbad,mobile,online data analytics
A1103,data analytics course,119,5800,221.36,11,8,0.046,1505,29112024,hyderabad,desktop,analytics for data
A1104,data analytics course,89,3594,215.57,14,6,0.067,1026,20241115,hyderabad,tablet,data analytics course
A1105,data analytics course,146,4765,230.22,23,5,0.034,1944,20241128,hyderabad,tablet,analytics for data
A1106,data analytics course,109,4128,183.65,12,5,0.046,1505,20241130,hyderabad,desktop,data analytics online
A1107,data analytics course,159,5127,197.16,21,4,0.025,1867,20241103,hyderabad,tablet,learn data analytics
A1108,data analytics course,144,5674,235.36,12,3,0.021,1505,20241122,hyderabad,desktop,analytics for data
A1109,data analytics course,122,3793,237.22,19,8,0.066,1842,20241120,hyderabad,tablet,online data analytics
A1110,data analytics course,112,4315,235.33,28,9,0.08,1116,20241108,hyderabad,mobile,data analytics course
A1111,data analytics course,174,4704,192.32,21,10,0.049,1501,20241124,hyderabad,mobile,learn data analytics
A1112,data analytics course,168,3349,235.6,23,9,0.054,1894,20241109,hyderabad,mobile,online data analytics
A1113,data analytics course,173,3501,223.9,28,10,0.044,1179,20241125,hyderbad,mobile,data analytics course
A1114,data analytics course,91,0,203.52,0,9,0.099,1838,20112024,hyderabad,desktop,data analytics course
A1115,data analytics course,140,5405,195.69,21,8,0.046,1094,21112024,hyderabad,desktop,data analytics training
A1116,data analytics course,93,3425,229.76,26,4,0.043,1344,24112024,hyderbad,mobile,online data analytics
A1117,data analytics course,114,5263,189.13,23,5,0.044,1434,5112024,hyderabad,mobile,data analytics course
A1118,data analytics course,172,3889,215.57,21,10,0.046,1766,20241116,hyderabad,tablet,online data analytics
A1119,data analytics course,188,3327,193.76,24,6,0.047,1220,3112024,hyderabad,tablet,online data analytics
A1120,data analytics course,117,0,214.18,29,4,0.034,1348,20241123,hyderabad,mobile,learn data analytics
A1121,data analytics course,113,5471,215.57,27,9,0.038,1123,20241123,hyderabad,mobile,analytics for data
A1122,data analytics course,109,3550,240.33,14,8,0.073,1982,20241124,hyderabad,tablet,learn data analytics
A1123,data analytics course,174,3178,225.67,18,10,0.057,1140,20112024,hyderabad,desktop,data analytics online
A1124,data analytics course,96,4673,192.88,24,5,0.052,1962,20241110,hyderabad,mobile,learn data analytics
A1125,data analytics course,110,4254,187.87,11,4,0.046,1172,20241104,hyderabad,mobile,data analytics training
A1126,data analytics course,163,3658,237.63,23,7,0.043,1699,20241123,hyderbad,tablet,online data analytics
A1127,data analytics course,161,5319,235.98,13,4,0.025,1423,20241118,hyderbad,mobile,learn data analytics
A1128,data analytics course,195,5278,193.49,30,7,0.047,1456,20241104,hyderabad,mobile,data analytics course
A1129,data analytics course,84,3755,218.88,14,9,0.047,1299,20241105,hyderbad,tablet,analytics for data
A1130,data analytics course,113,4580,194.82,11,6,0.059,1248,20241128,hyderbad,tablet,data analytics course
A1131,data analytics course,117,3809,225.14,12,5,0.032,1495,20241109,hyderabad,desktop,data analytics training
A1132,data analytics course,135,5118,219.99,27,6,0.044,1089,20241120,hyderabad,mobile,online data analytics
A1133,data analytics course,92,5766,186.14,28,7,0.076,1013,27112024,hyderabad,tablet,data analytics training
A1134,data analytics course,188,3934,206.21,16,9,0.048,1505,4112024,hyderabad,desktop,data analytics course
A1135,data analytics course,101,4724,228.38,13,7,0.034,1243,20241120,hyderabad,desktop,learn data analytics
A1136,data analytics course,111,5895,205.25,29,4,0.036,1693,20241104,hyderabad,mobile,data analytics course
A1137,data analytics course,122,4048,202.23,28,10,0.082,1505,26112024,hyderabad,mobile,online data analytics
A1138,data analytics course,99,3169,237.68,21,6,0.046,1509,20241122,hyderabad,mobile,online data analytics
A1139,data analytics course,154,4535,229.29,11,3,0.019,1434,20241101,hyderabad,tablet,data analytics training
A1140,data analytics course,129,3849,249.29,22,10,0.078,1767,20241111,hyderabad,desktop,analytics for data
A1141,data analytics course,0,4259,182.98,10,10,0.031,1048,16112024,hyderabad,mobile,analytics for data
A1142,data analytics course,143,3628,215.57,18,9,0.063,1566,17112024,hyderabad,tablet,data analytics course
A1143,data analytics course,80,3269,215.57,12,4,0.05,1753,23112024,hyderbad,desktop,data analytics online
A1144,data analytics course,134,3724,188.02,26,9,0.047,1891,20241107,hyderabad,desktop,online data analytics
A1145,data analytics course,174,4838,242.35,21,3,0.017,1599,20241122,hyderabad,desktop,data analytics online
A1146,data analytics course,196,4524,192.01,15,8,0.041,1048,20241113,hyderabad,desktop,data analytics course
A1147,data analytics course,194,4694,228.15,17,7,0.036,1874,20241114,hyderabad,tablet,learn data analytics
A1148,data analytics course,180,4326,221.67,13,0,0.046,1427,6112024,hyderbad,tablet,online data analytics
A1149,data analytics course,100,4235,222.61,10,8,0.051,1814,1112024,hyderabad,desktop,data analytics training
A1150,data analytics course,153,4367,184.51,29,9,0.059,1507,20241113,hyderabad,mobile,analytics for data
A1151,data analytics course,110,3748,198.68,24,9,0.082,1041,5112024,hyderbad,tablet,data analytics training
A1152,data analytics course,116,3901,215.57,21,4,0.034,1483,20241113,hyderabad,tablet,online data analytics
A1153,data analytics course,156,3335,236.98,29,7,0.045,1143,20241114,hyderbad,desktop,data analytics course
A1154,data analytics course,177,5671,210.74,19,6,0.058,1172,25112024,hyderabad,tablet,data analytics course
A1155,data analytics course,89,3408,214.78,25,9,0.101,1898,20241115,hyderabad,mobile,data analytics course
A1156,data analytics course,155,4422,183.96,14,8,0.037,1143,20241115,hyderabad,mobile,analytics for data
A1157,data analytics course,123,3097,190.55,20,8,0.065,1640,20241122,hyderbad,tablet,data analytics course
A1158,data analytics course,102,3621,244.82,10,5,0.049,1375,20241112,hyderabad,mobile,learn data analytics
A1159,data analytics course,150,4806,244.53,15,9,0.046,1602,7112024,hyderabad,mobile,data analytics online
A1160,data analytics course,160,0,245.87,11,6,0.037,1505,20241105,hyderbad,desktop,analytics for data
A1161,data analytics course,143,3901,191.38,29,4,0.053,1786,20241124,hyderabad,mobile,learn data analytics
A1162,data analytics course,178,4673,222.46,29,6,0.051,1219,20241104,hyderabad,tablet,online data analytics
A1163,data analytics course,152,3542,208.96,13,9,0.046,1735,20241113,hyderbad,desktop,data analytics course
A1164,data analytics course,139,4347,238.19,26,5,0.046,1384,13112024,hyderabad,tablet,analytics for data
A1165,data analytics course,175,5014,247.24,25,7,0.04,1499,15112024,hyderabad,mobile,learn data analytics
A1166,data analytics course,92,4185,218.46,21,9,0.035,1567,20241103,hyderbad,mobile,data analytics online
A1167,data analytics course,123,5964,215.57,17,6,0.046,1363,20241103,hyderabad,desktop,data analytics training
A1168,data analytics course,86,5124,183.71,13,10,0.116,1137,20112024,hyderabad,mobile,data analytics training
A1169,data analytics course,117,4162,238.08,28,10,0.085,1186,20241122,hyderabad,mobile,online data analytics
A1170,data analytics course,146,4330,191.9,20,3,0.021,1748,20241109,hyderabad,mobile,online data analytics
A1171,data analytics course,89,3268,215.57,17,4,0.045,1233,20241113,hyderabad,desktop,online data analytics
A1172,data analytics course,195,3483,213.99,27,7,0.036,1796,23112024,hyderabad,desktop,learn data analytics
A1173,data analytics course,170,4519,240.63,22,7,0.041,1012,27112024,hyderbad,mobile,analytics for data
A1174,data analytics course,97,3605,240.29,21,7,0.045,1682,20241110,hyderabad,desktop,data analytics online
A1175,data analytics course,159,5076,204.97,15,10,0.063,1638,17112024,hyderbad,tablet,data analytics course
A1176,data analytics course,131,5352,225.86,24,10,0.046,1961,20241120,hyderabad,mobile,online data analytics
A1177,data analytics course,108,5503,185.26,11,7,0.065,1921,6112024,hyderabad,mobile,data analytics online
A1178,data analytics course,93,4308,209.83,19,9,0.097,1694,20241120,hyderabad,mobile,data analytics course
A1179,data analytics course,137,3555,213.5,29,3,0.046,1505,20241106,hyderabad,desktop,data analytics course
A1180,data analytics course,81,5615,193.14,30,6,0.074,1255,20241128,hyderabad,mobile,analytics for data
A1181,data analytics course,160,4743,206.22,23,10,0.062,1825,20241120,hyderabad,mobile,learn data analytics
A1182,data analytics course,186,3337,183.58,16,8,0.043,1045,20241130,hyderabad,desktop,online data analytics
A1183,data analytics course,105,3234,238.8,27,10,0.095,1248,20241106,hyderbad,desktop,online data analytics
A1184,data analytics course,131,3913,203.69,14,10,0.046,1079,20241125,hyderbad,desktop,data analytics training
A1185,data analytics course,129,3208,204.2,18,8,0.032,1456,20241129,hyderabad,desktop,learn data analytics
A1186,data analytics course,187,5972,220.64,30,7,0.037,1980,20241114,hyderbad,desktop,data analytics course
A1187,data analytics course,167,3662,235.43,10,7,0.042,1684,20241125,hyderbad,mobile,data analytics training
A1188,data analytics course,140,3359,182.13,29,7,0.045,1973,20241128,hyderabad,desktop,data analytics online
A1189,data analytics course,198,3700,220.67,14,5,0.046,1531,20241110,hyderabad,mobile,analytics for data
A1190,data analytics course,196,3835,218.07,10,9,0.041,1871,4112024,hyderabad,tablet,online data analytics
A1191,data analytics course,140,5638,208.02,22,5,0.046,1652,20241118,hyderbad,desktop,data analytics training
A1192,data analytics course,157,5825,230.6,16,3,0.019,1041,20241116,hyderabad,desktop,data analytics training
A1193,data analytics course,91,5428,248.38,11,3,0.033,1835,22112024,hyderabad,tablet,learn data analytics
A1194,data analytics course,140,3571,238.12,21,9,0.064,1762,20241116,hyderabad,desktop,learn data analytics
A1195,data analytics course,154,3638,182.17,11,8,0.056,1413,20241104,hyderabad,mobile,online data analytics
A1196,data analytics course,133,4505,200.52,23,3,0.039,1562,26112024,hyderabad,tablet,analytics for data
A1197,data analytics course,0,5016,238.59,26,9,0.046,1620,20241120,hyderbad,mobile,data analytics online
A1198,data analytics course,141,3071,208.2,10,6,0.043,1647,18112024,hyderabad,tablet,data analytics online
A1199,data analytics course,135,5682,215.57,30,3,0.046,1445,20241115,hyderbad,tablet,data analytics training
A1200,data analytics course,199,5067,247.38,24,8,0.059,1365,20241119,hyderbad,mobile,analytics for data
A1201,data analytics course,138,3971,184.87,28,3,0.022,1718,20241107,hyderbad,tablet,learn data analytics
A1202,data analytics course,175,4481,236.38,21,10,0.057,1257,20112024,hyderabad,desktop,data analytics course
A1203,data analytics course,170,5476,186.29,25,4,0.024,1731,8112024,hyderabad,mobile,analytics for data
A1204,data analytics course,138,4426,203.75,24,10,0.072,1838,20241105,hyderabad,mobile,data analytics course
A1205,data analytics course,108,4080,247.8,18,4,0.037,1363,20241130,hyderbad,tablet,online data analytics
A1206,data analytics course,150,4113,219.67,12,7,0.047,1196,20241122,hyderabad,mobile,learn data analytics
A1207,data analytics course,90,5119,226.58,14,10,0.111,1348,20241107,hyderabad,desktop,analytics for data
A1208,data analytics course,98,3422,223.55,17,7,0.046,1414,20241119,hyderabad,tablet,online data analytics
A1209,data analytics course,130,3327,224.83,13,3,0.023,1668,16112024,hyderabad,mobile,online data analytics
A1210,data analytics course,199,0,199.98,15,8,0.04,1467,20241108,hyderabad,tablet,data analytics training
A1211,data analytics course,101,3241,183.34,24,0,0.046,1483,10112024,hyderbad,tablet,data analytics training
A1212,data analytics course,118,3970,215.57,27,9,0.076,1036,20241119,hyderabad,desktop,data analytics course
A1213,data analytics course,199,5734,247.99,18,0,0.046,1455,20241111,hyderabad,desktop,data analytics online
A1214,data analytics course,183,4001,237.85,23,4,0.022,1430,20241121,hyderbad,mobile,online data analytics
A1215,data analytics course,126,4206,233.76,29,10,0.041,1998,20241106,hyderabad,tablet,online data analytics
A1216,data analytics course,199,4745,215.57,13,9,0.046,1800,20241128,hyderabad,tablet,analytics for data
A1217,data analytics course,92,4042,200.75,15,7,0.076,1234,20241124,hyderabad,tablet,learn data analytics
A1218,data analytics course,0,4883,249.61,10,3,0.046,1464,20241112,hyderabad,tablet,online data analytics
A1219,data analytics course,92,3748,208.15,14,8,0.087,1297,20241102,hyderabad,desktop,analytics for data
A1220,data analytics course,135,3480,224.94,11,4,0.03,1398,20241123,hyderbad,tablet,data analytics online
A1221,data analytics course,177,3007,223.22,30,8,0.045,1766,20241102,hyderabad,mobile,data analytics online
A1222,data analytics course,117,3380,186.73,21,10,0.055,1958,20241119,hyderabad,desktop,data analytics training
A1223,data analytics course,127,4823,194.69,11,10,0.057,1496,15112024,hyderabad,desktop,data analytics course
A1224,data analytics course,132,4490,202.45,10,7,0.053,1441,20241110,hyderbad,mobile,data analytics online
A1225,data analytics course,102,5149,229.48,27,9,0.088,1137,26112024,hyderabad,desktop,learn data analytics
A1226,data analytics course,91,4290,213.74,0,10,0.046,1797,20241116,hyderabad,mobile,online data analytics
A1227,data analytics course,163,5643,217.4,30,6,0.046,1678,20241101,hyderabad,desktop,data analytics online
A1228,data analytics course,92,3916,188.1,0,6,0.065,1005,20241114,hyderabad,desktop,online data analytics
A1229,data analytics course,165,4551,185.35,30,0,0.046,1662,20241106,hyderbad,desktop,data analytics online
A1230,data analytics course,127,3344,201.7,10,8,0.046,1190,20241111,hyderabad,desktop,analytics for data
A1231,data analytics course,178,4441,231.97,22,4,0.022,1886,20241124,hyderabad,mobile,analytics for data
A1232,data analytics course,101,0,234.17,29,5,0.05,1568,20241127,hyderabad,mobile,data analytics training
A1233,data analytics course,161,5977,193.27,24,0,0.046,1366,13112024,hyderbad,desktop,online data analytics
A1234,data analytics course,95,4562,187.62,24,9,0.095,1239,20241126,hyderabad,desktop,data analytics training
A1235,data analytics course,85,5099,232.56,28,9,0.046,1526,2112024,hyderabad,mobile,data analytics training
A1236,data analytics course,192,5852,181.05,16,8,0.042,1600,20241121,hyderabad,desktop,analytics for data
A1237,data analytics course,80,3823,181.57,13,4,0.046,1564,20241113,hyderabad,desktop,online data analytics
A1238,data analytics course,191,4612,238.23,20,10,0.052,1531,1112024,hyderbad,mobile,learn data analytics
A1239,data analytics course,147,5881,196.34,23,7,0.048,1614,20241118,hyderabad,desktop,data analytics training
A1240,data analytics course,100,5204,197.53,26,4,0.04,1675,24112024,hyderabad,tablet,data analytics course
A1241,data analytics course,82,5130,233.75,0,9,0.11,1505,15112024,hyderbad,mobile,data analytics online
A1242,data analytics course,123,5231,202.93,30,10,0.081,1551,20241123,hyderabad,desktop,online data analytics
A1243,data analytics course,165,5980,248.41,17,3,0.018,1803,6112024,hyderbad,tablet,online data analytics
A1244,data analytics course,167,3202,214.87,26,6,0.036,1571,12112024,hyderabad,desktop,data analytics online
A1245,data analytics course,111,5847,196.71,21,9,0.081,1445,20241130,hyderabad,mobile,online data analytics
A1246,data analytics course,94,4359,215.57,28,5,0.045,1920,20241107,hyderabad,tablet,learn data analytics
A1247,data analytics course,179,3185,236.74,29,5,0.046,1156,20241111,hyderabad,desktop,data analytics course
A1248,data analytics course,166,5592,183.03,22,4,0.024,1636,20241122,hyderabad,tablet,online data analytics
A1249,data analytics course,90,5062,191.4,23,6,0.046,1775,20241119,hyderabad,tablet,data analytics course
A1250,data analytics course,106,5830,241.9,29,10,0.035,1897,20241102,hyderabad,desktop,data analytics training
A1251,data analytics course,0,4629,236.96,10,6,0.046,1183,6112024,hyderabad,desktop,data analytics training
A1252,data analytics course,158,4780,247.2,23,9,0.046,1005,20241124,hyderbad,desktop,learn data analytics
A1253,data analytics course,187,3800,241.0,16,8,0.043,1842,20241109,hyderbad,mobile,analytics for data
A1254,data analytics course,95,4096,242.69,26,9,0.095,1550,22112024,hyderbad,tablet,online data analytics
A1255,data analytics course,118,3562,231.5,12,3,0.025,1856,20241119,hyderabad,desktop,data analytics course
A1256,data analytics course,166,3910,191.32,27,7,0.042,1505,20241115,hyderabad,mobile,analytics for data
A1257,data analytics course,146,5411,201.76,28,7,0.048,1393,14112024,hyderabad,desktop,data analytics online
A1258,data analytics course,101,4026,219.68,22,9,0.089,1149,15112024,hyderabad,desktop,analytics for data
A1259,data analytics course,185,3716,218.23,27,7,0.056,1015,20241103,hyderabad,desktop,online data analytics
A1260,data analytics course,147,5162,186.79,30,7,0.048,1733,20241125,hyderabad,desktop,analytics for data
A1261,data analytics course,188,3859,211.83,30,9,0.048,1719,20241128,hyderabad,mobile,online data analytics
A1262,data analytics course,122,3350,225.89,28,3,0.046,1509,20241124,hyderabad,desktop,data analytics online
A1263,data analytics course,143,5340,215.57,20,9,0.063,1223,20241105,hyderbad,tablet,online data analytics
A1264,data analytics course,170,3124,234.92,17,3,0.018,1232,20241111,hyderabad,desktop,data analytics training
A1265,data analytics course,114,5017,242.62,11,6,0.053,1303,20241117,hyderabad,mobile,data analytics online
A1266,data analytics course,186,3424,201.81,27,3,0.016,1337,20241126,hyderabad,desktop,data analytics training
A1267,data analytics course,120,4060,210.95,24,9,0.075,1376,20241105,hyderabad,tablet,data analytics online
A1268,data analytics course,130,5688,212.05,21,5,0.038,1454,17112024,hyderbad,desktop,learn data analytics
A1269,data analytics course,178,5029,189.79,25,8,0.045,1510,9112024,hyderabad,desktop,data analytics training
A1270,data analytics course,196,5476,204.63,19,4,0.02,1288,26112024,hyderabad,desktop,data analytics training
A1271,data analytics course,110,5000,197.89,18,3,0.027,1110,20241112,hyderabad,desktop,online data analytics
A1272,data analytics course,95,4141,207.14,22,3,0.054,1929,20241111,hyderabad,tablet,learn data analytics
A1273,data analytics course,183,4791,232.97,27,5,0.046,1476,20241121,hyderabad,desktop,data analytics online
A1274,data analytics course,100,4168,193.6,30,3,0.03,1692,20241125,hyderabad,desktop,online data analytics
A1275,data analytics course,187,3741,226.11,27,10,0.053,1342,14112024,hyderbad,tablet,learn data analytics
